Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 678
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 1429
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1434
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 582
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 843
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 104.18.32.47, Size: 646
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 1429
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 582
Anomalous Packet - Source: 104.18.32.47, Destination: 192.168.68.149, Size: 1118
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 710
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 1429
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1437
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 591
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 626
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 710
Anomalous Packet - Source: 192.168.68.149, Destination: 172.64.155.209, Size: 1454
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 1429
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 591
Anomalous Packet - Source: 172.64.155.209, Destination: 192.168.68.149, Size: 1116
